Walmart,ORG
Twitter,ORG
Exxon Mobil,ORG
Chevron,ORG
Berkshire Hathaway,ORG
Apple,ORG
General Motors,ORG
Phillips 66,ORG
General Electric,ORG
Ford Motor,ORG
CVS Health,ORG
McKesson,ORG
AT&T,ORG
Valero Energy,ORG
UnitedHealth Group,ORG
Verizon,ORG
AmerisourceBergen,ORG
Fannie Mae,ORG
Costco,ORG
HP,ORG
Kroger,ORG
JP Morgan Chase,ORG
Express Scripts Holding,ORG
Bank of America Corp.,ORG
IBM,ORG
Marathon Petroleum,ORG
Cardinal Health,ORG
Boeing,ORG
Citigroup,ORG
Amazon.com,ORG
Wells Fargo,ORG
Microsoft,ORG
Procter & Gamble,ORG
Home Depot,ORG
Archer Daniels Midland,ORG
Walgreens,ORG
Target,ORG
Johnson & Johnson,ORG
Anthem,ORG
MetLife,ORG
Alphabet,ORG
State Farm Insurance Cos.,ORG
Freddie Mac,ORG
Comcast,ORG
PepsiCo,ORG
United Technologies,ORG
AIG,ORG
UPS,ORG
Dow Chemical,ORG
Aetna,ORG
Lowe's,ORG
ConocoPhillips,ORG
Intel,ORG
Energy Transfer Equity,ORG
Caterpillar,ORG
Prudential Financial,ORG
Pfizer,ORG
Walt Disney,ORG
Humana,ORG
Enterprise Products Partners,ORG
Cisco Systems,ORG
Sysco,ORG
Ingram Micro,ORG
Coca-Cola,ORG
Lockheed Martin,ORG
FedEx,ORG
Johnson Controls,ORG
Plains GP Holdings,ORG
World Fuel Services,ORG
CHS,ORG
American Airlines Group,ORG
Merck,ORG
Best Buy,ORG
Delta Air Lines,ORG
Honeywell International,ORG
HCA Holdings,ORG
Goldman Sachs Group,ORG
Tesoro,ORG
Liberty Mutual Insurance Group,ORG
United Continental Holdings,ORG
New York Life Insurance,ORG
Oracle,ORG
Morgan Stanley,ORG
Tyson Foods,ORG
Safeway,ORG
Nationwide,ORG
Deere,ORG
DuPont,ORG
American Express,ORG
Allstate,ORG
Cigna,ORG
Mondelez International,ORG
TIAA-CREF,ORG
INTL FCStone,ORG
Massachusetts Mutual Life Insurance,ORG
DirecTV,ORG
Halliburton,ORG
Twenty-First Century Fox,ORG
3M,ORG
Sears Holdings,ORG
General Dynamics,ORG
Publix Super Markets,ORG
Philip Morris International,ORG
TJX,ORG
Time Warner,ORG
Macy's,ORG
Nike,ORG
Tech Data,ORG
Avnet,ORG
Northwestern Mutual,ORG
McDonald's,ORG
Exelon,ORG
Travelers Cos.,ORG
Qualcomm,ORG
International Paper,ORG
Occidental Petroleum,ORG
Duke Energy,ORG
Rite Aid,ORG
Gilead Sciences,ORG
Baker Hughes,ORG
Emerson Electric,ORG
EMC,ORG
USAA,ORG
Union Pacific,ORG
Northrop Grumman,ORG
Alcoa,ORG
Capital One Financial,ORG
National Oilwell Varco,ORG
US Foods,ORG
Raytheon,ORG
Time Warner Cable,ORG
Arrow Electronics,ORG
Aflac,ORG
Staples,ORG
Abbott Laboratories,ORG
Community Health Systems,ORG
Fluor,ORG
Freeport-McMoRan,ORG
U.S. Bancorp,ORG
Nucor,ORG
Kimberly-Clark,ORG
Hess,ORG
Chesapeake Energy,ORG
Xerox,ORG
ManpowerGroup,ORG
Amgen,ORG
AbbVie,ORG
Danaher,ORG
Whirlpool,ORG
PBF Energy,ORG
HollyFrontier,ORG
Eli Lilly,ORG
Devon Energy,ORG
Progressive,ORG
Cummins,ORG
Icahn Enterprises,ORG
AutoNation,ORG
Kohl's,ORG
Paccar,ORG
Dollar General,ORG
Hartford Financial Services Group,ORG
Southwest Airlines,ORG
Anadarko Petroleum,ORG
Southern,ORG
Supervalu,ORG
Kraft Foods Group,ORG
Goodyear Tire & Rubber,ORG
EOG Resources,ORG
CenturyLink,ORG
Altria Group,ORG
Tenet Healthcare,ORG
General Mills,ORG
eBay,ORG
ConAgra Foods,ORG
Lear,ORG
TRW Automotive Holdings,ORG
United States Steel,ORG
Penske Automotive Group,ORG
AES,ORG
Colgate-Palmolive,ORG
Global Partners,ORG
Thermo Fisher Scientific,ORG
PG&E Corp.,ORG
NextEra Energy,ORG
American Electric Power,ORG
Baxter International,ORG
Centene,ORG
Starbucks,ORG
Gap,ORG
Bank of New York Mellon Corp.,ORG
Micron Technology,ORG
Jabil Circuit,ORG
PNC Financial Services Group,ORG
Kinder Morgan,ORG
Office Depot,ORG
Bristol-Myers Squibb,ORG
NRG Energy,ORG
Monsanto,ORG
PPG Industries,ORG
Genuine Parts,ORG
Omnicom Group,ORG
Illinois Tool Works,ORG
Murphy USA,ORG
Land O'Lakes,ORG
Western Refining,ORG
Western Digital,ORG
FirstEnergy,ORG
Aramark,ORG
DISH Network,ORG
Las Vegas Sands,ORG
Kellogg,ORG
Loews,ORG
CBS,ORG
Ecolab,ORG
Whole Foods Market,ORG
Chubb,ORG
Health Net,ORG
Waste Management,ORG
Apache,ORG
Textron,ORG
Synnex,ORG
Marriott International,ORG
Viacom,ORG
Lincoln National,ORG
Nordstrom,ORG
C.H. Robinson Worldwide,ORG
Edison International,ORG
Marathon Oil,ORG
Yum Brands,ORG
Computer Sciences,ORG
Parker-Hannifin,ORG
DaVita HealthCare Partners,ORG
CarMax,ORG
Texas Instruments,ORG
WellCare Health Plans,ORG
Marsh & McLennan,ORG
Consolidated Edison,ORG
Oneok,ORG
Visa,ORG
Jacobs Engineering Group,ORG
CSX,ORG
Entergy,ORG
Facebook,ORG
Dominion Resources,ORG
Leucadia National,ORG
"Toys ""R"" Us",ORG
DTE Energy,ORG
Ameriprise Financial,ORG
VF,ORG
Praxair,ORG
J.C. Penney,ORG
Automatic Data Processing,ORG
L-3 Communications,ORG
CDW,ORG
Guardian Life Ins. Co. of America,ORG
Xcel Energy,ORG
Norfolk Southern,ORG
PPL,ORG
R.R. Donnelley & Sons,ORG
Huntsman,ORG
Bed Bath & Beyond,ORG
Stanley Black & Decker,ORG
L Brands,ORG
Liberty Interactive,ORG
Farmers Insurance Exchange,ORG
First Data,ORG
Sherwin-Williams,ORG
BlackRock,ORG
Voya Financial,ORG
Ross Stores,ORG
Sempra Energy,ORG
Estee Lauder,ORG
H.J. Heinz,ORG
Reinsurance Group of America,ORG
Public Service Enterprise Group,ORG
Cameron International,ORG
Navistar International,ORG
CST Brands,ORG
State Street Corp.,ORG
Unum Group,ORG
Hilton Worldwide Holdings,ORG
Family Dollar Stores,ORG
Principal Financial,ORG
Reliance Steel & Aluminum,ORG
Air Products & Chemicals,ORG
Assurant,ORG
Peter Kiewit Sons',ORG
Henry Schein,ORG
Cognizant Technology Solutions,ORG
MGM Resorts International,ORG
W.W. Grainger,ORG
Group 1 Automotive,ORG
BB&T Corp.,ORG
WestRock,ORG
Advance Auto Parts,ORG
Ally Financial,ORG
AGCO,ORG
Corning,ORG
Biogen,ORG
NGL Energy Partners,ORG
Stryker,ORG
Molina Healthcare,ORG
Precision Castparts,ORG
Discover Financial Services,ORG
Genworth Financial,ORG
Eastman Chemical,ORG
Dean Foods,ORG
AutoZone,ORG
MasterCard,ORG
Owens & Minor,ORG
Hormel Foods,ORG
GameStop,ORG
Autoliv,ORG
CenterPoint Energy,ORG
Fidelity National Financial,ORG
Sonic Automotive,ORG
HD Supply Holdings,ORG
Charter Communications,ORG
Crown Holdings,ORG
Applied Materials,ORG
Mosaic,ORG
CBRE Group,ORG
Avon Products,ORG
Republic Services,ORG
Universal Health Services,ORG
Darden Restaurants,ORG
Steel Dynamics,ORG
SunTrust Banks,ORG
Caesars Entertainment,ORG
Targa Resources,ORG
Dollar Tree,ORG
News Corp.,ORG
Ball,ORG
Thrivent Financial for Lutherans,ORG
Masco,ORG
Franklin Resources,ORG
Avis Budget Group,ORG
Reynolds American,ORG
Becton Dickinson,ORG
Priceline Group,ORG
Broadcom,ORG
Tenneco,ORG
Campbell Soup,ORG
AECOM,ORG
Visteon,ORG
Delek US Holdings,ORG
Dover,ORG
BorgWarner,ORG
Jarden,ORG
UGI,ORG
Murphy Oil,ORG
PVH,ORG
Core-Mark Holding,ORG
Calpine,ORG
D.R. Horton,ORG
Weyerhaeuser,ORG
KKR,ORG
FMC Technologies,ORG
American Family Insurance Group,ORG
SpartanNash,ORG
WESCO International,ORG
Quanta Services,ORG
Mohawk Industries,ORG
Motorola Solutions,ORG
Lennar,ORG
TravelCenters of America,ORG
Sealed Air,ORG
Eversource Energy,ORG
Coca-Cola Enterprises,ORG
Celgene,ORG
Williams,ORG
Ashland,ORG
Interpublic Group,ORG
Blackstone Group,ORG
Ralph Lauren,ORG
Quest Diagnostics,ORG
Hershey,ORG
Terex,ORG
Boston Scientific,ORG
Newmont Mining,ORG
Allergan,ORG
O'Reilly Automotive,ORG
Casey's General Stores,ORG
CMS Energy,ORG
Foot Locker,ORG
W.R. Berkley,ORG
PetSmart,ORG
Pacific Life,ORG
Commercial Metals,ORG
Agilent Technologies,ORG
Huntington Ingalls Industries,ORG
Mutual of Omaha Insurance,ORG
Live Nation Entertainment,ORG
Dick's Sporting Goods,ORG
Oshkosh,ORG
Celanese,ORG
Spirit AeroSystems Holdings,ORG
United Natural Foods,ORG
Peabody Energy,ORG
Owens-Illinois,ORG
Dillard's,ORG
Level 3 Communications,ORG
Pantry,ORG
LKQ,ORG
Integrys Energy Group,ORG
Symantec,ORG
Buckeye Partners,ORG
Ryder System,ORG
SanDisk,ORG
Rockwell Automation,ORG
Dana Holding,ORG
Lansing Trade Group,ORG
NCR,ORG
Expeditors International of Washington,ORG
Omnicare,ORG
AK Steel Holding,ORG
Fifth Third Bancorp,ORG
Seaboard,ORG
NiSource,ORG
Cablevision Systems,ORG
Anixter International,ORG
EMCOR Group,ORG
Fidelity National Information Services,ORG
Barnes & Noble,ORG
KBR,ORG
Auto-Owners Insurance,ORG
Jones Financial,ORG
Avery Dennison,ORG
NetApp,ORG
iHeartMedia,ORG
Discovery Communications,ORG
Harley-Davidson,ORG
Sanmina,ORG
Trinity Industries,ORG
J.B. Hunt Transport Services,ORG
Charles Schwab,ORG
Erie Insurance Group,ORG
Dr Pepper Snapple Group,ORG
Ameren,ORG
Mattel,ORG
Laboratory Corp. of America,ORG
TEGNA,ORG
Starwood Hotels & Resorts,ORG
General Cable,ORG
A-Mark Precious Metals,ORG
Graybar Electric,ORG
Energy Future Holdings,ORG
HRG Group,ORG
MRC Global,ORG
Spectra Energy,ORG
Asbury Automotive Group,ORG
Packaging Corp. of America,ORG
Windstream Holdings,ORG
PulteGroup,ORG
JetBlue Airways,ORG
Newell Rubbermaid,ORG
Con-way,ORG
Calumet Specialty Products Partners,ORG
Expedia,ORG
American Financial Group,ORG
Tractor Supply,ORG
United Rentals,ORG
Ingredion,ORG
Navient,ORG
MeadWestvaco,ORG
AGL Resources,ORG
St. Jude Medical,ORG
J.M. Smucker,ORG
Western Union,ORG
Clorox,ORG
Domtar,ORG
Kelly Services,ORG
Old Republic International,ORG
Advanced Micro Devices,ORG
Netflix,ORG
Booz Allen Hamilton Holding,ORG
Quintiles Transnational Holdings,ORG
